Nome_Estabelecimento,Place_ID_Estabelecimento,Endereço_Estabelecimento,Residência Parceira,Categoria,Busca_Tipo,Busca_Keyword,Latitude_Estabelecimento,Longitude_Estabelecimento,Tipos_API
Lunapharma,ChIJh0n6D__drAcRXERYlr96wL0,"R. Cassimiro de Abreu, 36 - Brisamar, João Pessoa",Residencial Sandalos,Saúde,pharmacy,farmácia,-7.1164318,-34.8393016,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Farmácia Preço Popular,ChIJ6eNdXTbdrAcRpV3wEqVoIyg,"R. João de Pessoa, 15 - Miramar, João Pessoa",Residencial Sandalos,Saúde,pharmacy,farmácia,-7.1198685,-34.838244,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Farmácia Aires Neves,ChIJRckdVUzdrAcRYOTQVU35vbo,"R. Arquiteto Hermenegildo Di Lascio, 230 - Tambauzinho, João Pessoa",Residencial Sandalos,Saúde,pharmacy,farmácia,-7.1224133,-34.8484837,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
A Visual Farmácia,ChIJ9XlQt0ndrAcR7V71eQPKZyk,"Av. Sen. Ruy Carneiro, 148 - Tambauzinho, João Pessoa",Residencial Sandalos,Saúde,pharmacy,farmácia,-7.1190858,-34.8416851,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Farmácia Tropicana Colinas,ChIJjcMOcmTdrAcRRsI9EIq3608,"Brisamar, João Pessoa",Residencial Sandalos,Saúde,pharmacy,farmácia,-7.119495799999999,-34.8450118,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Farmácia Pague Menos,ChIJVW2s1zfdrAcRora9fuJax2U,"R. Cel. Júlio de Souza Cousseior, 135 - Miramar, João Pessoa",Residencial Sandalos,Saúde,pharmacy,farmácia,-7.11837,-34.8402425,"['pharmacy', 'drugstore', 'health', 'store', 'point_of_interest', 'establishment']"
Redepharma 66,ChIJAQmBQw7drAcRtwwZ1N0gQ-s,"Av. Pres. Epitácio Pessoa, 3678 - Miramar, João Pessoa",Residencial Sandalos,Saúde,pharmacy,farmácia,-7.1197756,-34.8371754,"['pharmacy', 'health', 'store', 'point_of_interest', 'establishment']"
Hospital de Emergência e Trauma Senador Humberto Lucena,ChIJITJ5f0jdrAcRz7ObrbgdQhE,"R. Orestes Lisboa, SN - Pedro Gondim, João Pessoa",Residencial Sandalos,Saúde,hospital,hospital ou clínica,-7.116211799999999,-34.8428014,"['hospital', 'health', 'point_of_interest', 'establishment']"
Escola Luz - Unidade 1,ChIJJU4HlTfdrAcRt-kWLwQWQKs,"Av. Sen. Ruy Carneiro, 539 - Brisamar, João Pessoa",Residencial Sandalos,Educação,school,escola,-7.1172625,-34.8388997,"['primary_school', 'school', 'point_of_interest', 'establishment']"
Educandário Santa Cecília,ChIJb5BMgTXdrAcRaYKQcSgBWpI,"Rua Evaldo Wanderley, 819 - Tambauzinho, João Pessoa",Residencial Sandalos,Educação,school,escola,-7.1233783,-34.8403657,"['school', 'point_of_interest', 'establishment']"
